name,url,country,pageid,revid,ores
Shahjahan Noori,https://en.wikipedia.org/wiki/Shahjahan_Noori,Afghanistan,69537737,1099689043,GA
Abdul Ghafar Lakanwal,https://en.wikipedia.org/wiki/Abdul_Ghafar_Lakanwal,Afghanistan,42972519,943562276,Start
Majah Ha Adrif,https://en.wikipedia.org/wiki/Majah_Ha_Adrif,Afghanistan,10483286,852404094,Start
Haroon al-Afghani,https://en.wikipedia.org/wiki/Haroon_al-Afghani,Afghanistan,11966231,1095102390,B
Tayyab Agha,https://en.wikipedia.org/wiki/Tayyab_Agha,Afghanistan,46841383,1104998382,Start
Ahmadullah Wasiq,https://en.wikipedia.org/wiki/Ahmadullah_Wasiq,Afghanistan,68624823,1109361754,Start
Aziza Ahmadyar,https://en.wikipedia.org/wiki/Aziza_Ahmadyar,Afghanistan,47805901,1087211008,Start
Muqadasa Ahmadzai,https://en.wikipedia.org/wiki/Muqadasa_Ahmadzai,Afghanistan,70019038,1082489593,Start
Mohammad Sarwar Ahmedzai,https://en.wikipedia.org/wiki/Mohammad_Sarwar_Ahmedzai,Afghanistan,27664854,1038918070,Start
Amir Muhammad Akhundzada,https://en.wikipedia.org/wiki/Amir_Muhammad_Akhundzada,Afghanistan,12084570,1069322182,Start
Nasrullah Baryalai Arsalai,https://en.wikipedia.org/wiki/Nasrullah_Baryalai_Arsalai,Afghanistan,22588409,1095526840,Start
Mohammad Asim Asim,https://en.wikipedia.org/wiki/Mohammad_Asim_Asim,Afghanistan,49752089,1013838830,Stub
Atiqullah Atifmal,https://en.wikipedia.org/wiki/Atiqullah_Atifmal,Afghanistan,45251307,1112407669,Start
Abdul Rahim Ayoubi,https://en.wikipedia.org/wiki/Abdul_Rahim_Ayoubi,Afghanistan,44482763,1108886061,Start
Alhaj Mutalib Baig,https://en.wikipedia.org/wiki/Alhaj_Mutalib_Baig,Afghanistan,38670742,1111494041,Start
Ismael Balkhi,https://en.wikipedia.org/wiki/Ismael_Balkhi,Afghanistan,25153929,1112534409,Start
Abdul Baqi Turkistani,https://en.wikipedia.org/wiki/Abdul_Baqi_Turkistani,Afghanistan,27428272,889226470,Stub
Mohammad Ghous Bashiri,https://en.wikipedia.org/wiki/Mohammad_Ghous_Bashiri,Afghanistan,40960242,1102150221,Start
Abas Basir,https://en.wikipedia.org/wiki/Abas_Basir,Afghanistan,65412901,1098419766,C
Jan Baz,https://en.wikipedia.org/wiki/Jan_Baz,Afghanistan,10305348,997027082,Stub
Ahmad Behzad,https://en.wikipedia.org/wiki/Ahmad_Behzad,Afghanistan,35571947,1103948295,Start
Bashir Ahmad Bezan,https://en.wikipedia.org/wiki/Bashir_Ahmad_Bezan,Afghanistan,27663861,1060707209,Start
Rafiullah Bidar,https://en.wikipedia.org/wiki/Rafiullah_Bidar,Afghanistan,16351100,977208323,Stub
Mohammad Siddiq Chakari,https://en.wikipedia.org/wiki/Mohammad_Siddiq_Chakari,Afghanistan,14454477,1105913099,Stub
Cheragh Ali Cheragh,https://en.wikipedia.org/wiki/Cheragh_Ali_Cheragh,Afghanistan,24963809,1087211968,Start
Nasir Ahmad Durrani,https://en.wikipedia.org/wiki/Nasir_Ahmad_Durrani,Afghanistan,59378987,988838315,Stub
Elay Ershad,https://en.wikipedia.org/wiki/Elay_Ershad,Afghanistan,68508979,1102489654,Stub
Muhammad Hashim Esmatullahi,https://en.wikipedia.org/wiki/Muhammad_Hashim_Esmatullahi,Afghanistan,26835722,949986748,Stub
Ezatullah (Nangarhar),https://en.wikipedia.org/wiki/Ezatullah_(Nangarhar),Afghanistan,15842120,947885788,Stub
Aimal Faizi,https://en.wikipedia.org/wiki/Aimal_Faizi,Afghanistan,52438668,1033383351,Stub
Mohammad Nasim Faqiri,https://en.wikipedia.org/wiki/Mohammad_Nasim_Faqiri,Afghanistan,32365015,1098051193,Start
Mohammad Nazar Faqiri,https://en.wikipedia.org/wiki/Mohammad_Nazar_Faqiri,Afghanistan,32385169,1095525798,Stub
Sharif Ghalib,https://en.wikipedia.org/wiki/Sharif_Ghalib,Afghanistan,8054084,1041460606,B
Hashmat Ghani Ahmadzai,https://en.wikipedia.org/wiki/Hashmat_Ghani_Ahmadzai,Afghanistan,13368923,1112933356,C
Abdul Ghani Ghani,https://en.wikipedia.org/wiki/Abdul_Ghani_Ghani,Afghanistan,29443640,1072441893,Stub
Ashraf Ghani,https://en.wikipedia.org/wiki/Ashraf_Ghani,Afghanistan,404323,1113195582,B
Abdul Samad Ghaus,https://en.wikipedia.org/wiki/Abdul_Samad_Ghaus,Afghanistan,67448458,1072271854,Stub
Ghulam Ghaus,https://en.wikipedia.org/wiki/Ghulam_Ghaus,Afghanistan,68918472,1109361872,Stub
Ghulam Muhammad Ghobar,https://en.wikipedia.org/wiki/Ghulam_Muhammad_Ghobar,Afghanistan,25630787,1108886395,Stub
Mohammad Gul (Helmand Council),https://en.wikipedia.org/wiki/Mohammad_Gul_(Helmand_Council),Afghanistan,26027316,1092523687,Stub
Ghulam Haider Hamidi,https://en.wikipedia.org/wiki/Ghulam_Haider_Hamidi,Afghanistan,32550034,1095018556,Start
Rangina Hamidi,https://en.wikipedia.org/wiki/Rangina_Hamidi,Afghanistan,68487239,1104280812,C
Abdul Malik Hamwar,https://en.wikipedia.org/wiki/Abdul_Malik_Hamwar,Afghanistan,44098744,1100874645,Stub
Sayed Zafar Hashemi,https://en.wikipedia.org/wiki/Sayed_Zafar_Hashemi,Afghanistan,52438868,1112804808,Start
Qutbuddin Hilal,https://en.wikipedia.org/wiki/Qutbuddin_Hilal,Afghanistan,41835910,1104423275,Start
Shahnaz Himmeti,https://en.wikipedia.org/wiki/Shahnaz_Himmeti,Afghanistan,39576119,909966254,Stub
Anarkali Kaur Honaryar,https://en.wikipedia.org/wiki/Anarkali_Kaur_Honaryar,Afghanistan,37963046,1069574154,Start
Mahboba Hoqomal,https://en.wikipedia.org/wiki/Mahboba_Hoqomal,Afghanistan,35512380,1092518990,Stub
Musa Hotak,https://en.wikipedia.org/wiki/Musa_Hotak,Afghanistan,8575012,1094201417,Start
